3640	2433
3638	18342
3639	53553
3630	17019508
3631	6849667
3632	1470710
3633	113861
3634	3598
3635	1
3636	3596
3637	40300
3650	5829860
3651	918535
0	129207015
3649	3537729
1	53193570
2	29672602
3	3681
4	1
5	27340
6	663
7	95
8	217064
3641	2274
9	306760
3642	24986
3643	34
3644	22
3645	3783993
3646	20273
3647	44954
3648	45030
3660	35736
3661	519413
3662	19538
3652	341942
3653	467080
3654	155267
3655	50892
3656	11791
3657	417619
3658	113
3659	172817
3670	54471
3671	5342
3672	227084
3673	37376
3663	28580
3664	1469142
3665	7163
3666	683
3667	543357
3668	2706
3669	81166
3680	30262
3681	11509
3682	13368
3683	4540
3684	8868
3674	1271560
3675	438167
3676	1228755
3677	364993
3678	13975
3679	11311
3690	119241
3691	4884
3692	11947410
3693	10989132
3694	165033
3695	1211
3685	2668
3686	91461
3687	171597
3688	121142
3696	280
3697	38134
3698	63
3699	1
85370	1
12438	2
12439	26
85379	1
12432	1
85377	1
12433	26
12430	1
36401	1
85375	1
12431	1
36402	1
85376	1
12436	1
36403	2
85373	1
12437	1
85374	1
12434	5
85371	1
12435	2
85372	1
12440	1
12449	1
85368	1
85369	1
12443	1
85366	1
12444	1
85367	1
12441	1
85364	1
12442	1
85365	1
12447	2
85362	1
12448	2
85363	1
12445	1
85360	1
12446	1
85361	1
85391	1
85392	1
85390	1
12418	9
12419	1
12416	7
12417	5
12410	124
85399	1
12411	6
85397	1
85398	1
12414	1
85395	1
12415	3
85396	1
12412	1
85393	1
12413	1
85394	1
85380	1
85381	1
12429	1
12427	30
12428	1
12421	1
85388	1
12422	1
85389	1
85386	1
12420	3
85387	1
12425	47
85384	1
12426	6
85385	1
12423	5
85382	1
12424	2
85383	1
12407	1
12408	1
12405	18
12406	27
12409	1
12400	1
12403	1
12404	1
12401	1
12402	1
12391	1
12392	2
36360	1
12390	9
36361	6
12395	1
36362	2
12396	1
12393	1
61320	1
12394	8
36365	1
61321	1
61322	1
61323	1
61324	1
61325	1
61326	1
61327	3
61328	1
61329	1
61319	1
75970	1
75972	1
75973	1
12399	1
36366	1
75974	1
36367	1
75975	1
12397	1
36368	1
75976	1
12398	3
36369	11
75977	1
75978	1
75979	1
36350	1
36351	5
61330	1
36353	1
61331	1
36354	1
61333	1
61334	1
61335	1
61336	1
61337	1
61338	1
61339	1
75960	2
75961	1
75962	1
75963	1
